ID da Ação;Título;Entidade Promotora;Área Temática;Data e Hora;Duração (Horas);Vagas Restantes;Estado Atual;Métrica de Impacto;Voluntários Aprovados
A001;Tutoria de Matemática no Bairro;Núcleo de Engenharia Solidária;educação;2025-10-12 14:30;3;12;Concluída;82;11
A002;Oficina de Literacia Digital para Séniores;ONG Bairro Aberto;inclusão;2025-10-25 10:00;4;10;Concluída;88;10
A003;Campanha de Recolha de Alimentos de Outono;Programa Universidade Sem Fome;alimentação;2025-11-08 09:00;5;18;Concluída;79;15
A004;Limpeza Ribeirinha do Leça;Associação Académica Verde;ambiente;2025-11-15 08:30;4;20;Concluída;90;18
A005;Feira de Ciência Cidadã no Campus;Centro de Ciência Cidadã;tecnologia;2025-11-28 13:00;6;16;Concluída;84;15
A006;Apoio ao Estudo de Programação;Faculdade de Engenharia;tecnologia;2025-12-03 17:00;2;14;Concluída;76;12
A007;Workshop de CV e LinkedIn Solidário;Rede Alumni Mentores;educação;2025-12-10 18:30;2;25;Concluída;73;21
A008;Visita Cultural Inclusiva ao Museu;Museu e Cultura Viva;cultura;2025-12-14 11:00;3;12;Concluída;69;11
A009;Banco de Sangue Universitário;Gabinete de Saúde no Campus;saúde;2026-01-07 09:30;5;15;Concluída;87;12
A010;Mentoria para Caloiros Internacionais;Rede Alumni Mentores;educação;2026-01-16 16:00;3;20;Concluída;85;16
A011;Hackathon Dados para o Bem;Faculdade de Engenharia;tecnologia;2026-01-24 09:00;8;30;Concluída;92;27
A012;Plantação Participativa de Árvores;Associação Académica Verde;ambiente;2026-02-01 09:00;4;22;Concluída;91;17
A013;Oficina de Primeiros Socorros;Gabinete de Saúde no Campus;saúde;2026-02-07 14:00;3;16;Concluída;80;15
A014;Clube de Conversação Português;Biblioteca Central;cultura;2026-02-12 17:30;2;18;Concluída;74;14
A015;Recolha de Material Escolar;Serviço de Ação Social Universitária;inclusão;2026-02-20 10:00;4;12;Concluída;77;11
A016;Reforço Alimentar no Banco Local;Programa Universidade Sem Fome;alimentação;2026-02-27 15:00;5;15;Concluída;86;13
A017;Mapeamento de Acessibilidade do Campus;Clínica Jurídica Universitária;direitos;2026-03-25 14:00;4;13;Planeada;0;9
A018;Acompanhamento Digital a IPSS;ONG Bairro Aberto;inclusão;2026-03-27 10:00;3;10;Planeada;0;5
A019;Feira de Voluntariado e ODS;Serviço de Ação Social Universitária;inclusão;2026-04-02 11:00;6;24;Planeada;0;12
A020;Limpeza de Praia de Matosinhos;ONG Mar Limpo;ambiente;2026-04-05 08:00;5;27;Planeada;0;13
A021;Tutoria Intensiva de Exames;Núcleo de Engenharia Solidária;educação;2026-04-11 09:30;4;18;Planeada;0;8
A022;Apoio à Declaração de IRS Solidário;Clínica Jurídica Universitária;direitos;2026-04-16 18:00;2;10;Planeada;0;4
A023;Open Day Ciência para Escolas;Faculdade de Ciências;educação;2026-04-22 09:00;6;20;Planeada;0;10
A024;Corrida Solidária Campus em Movimento;Gabinete de Saúde no Campus;saúde;2026-04-29 17:00;4;30;Planeada;0;13
A025;Sessão de Ciência Cidadã sobre Qualidade do Ar;Centro de Ciência Cidadã;tecnologia;2026-05-06 18:00;3;22;Planeada;0;8
A026;Oficina de Design para Campanhas Sociais;Museu e Cultura Viva;cultura;2026-05-10 14:30;4;14;Planeada;0;8
A027;Hospital dos Bonecos;Gabinete de Saúde no Campus;saúde;2026-05-14 09:00;5;17;Planeada;0;10
A028;Campanha de Recolha de Resíduos Eletrónicos;Associação Académica Verde;ambiente;2026-05-21 10:00;4;16;Planeada;0;8
A029;Oficina de Robótica para Jovens;Faculdade de Engenharia;tecnologia;2026-05-28 15:00;5;14;Cancelada;0;0
A030;Encontro Intergeracional de Memórias;Museu e Cultura Viva;cultura;2026-06-04 15:00;3;12;Cancelada;0;0
A031;Campanha de Incentivo à Pesca Responsável;Marés Vivas;ambiente;2026-06-04 16:00;2;30;Cancelada;0.0;0
A032;Campanha de Teste;Teste;educação;2026-06-05 10:00;3;25;Planeada;50.0;0
A033;Campanha de Ajuda a Desalojados;Direção Regional da Habitação;Habitação;2026-05-20 14:00;2;40;Planeada;35.0;0
